EMD_CODE,total_trips,improve_trips,avg_deviation_ratio,avg_mean_confidence,avg_longest_deviation,avg_longest_deviation_ratio,avg_separation,improve_ratio,improve_ratio_lower_bound,deviation_norm,longest_dev_norm,longest_dev_ratio_norm,needs_attention,severity_score,improve_ratio_pct,improve_ratio_lower_bound_pct,priority_rank
41480108,5,3,0.3430445223229862,0.9703625568144751,127.2,0.2562495309894023,1.5731402663976375,0.6,0.23071993220883702,0.5790964451089029,0.4044164832285923,0.6426355365876515,False,0.4176160069546197,60.0,23.0719932208837,70
11170112,6,4,0.3249283160862659,0.9649178212357019,107.16666666666667,0.21016480933043288,1.5320443842513294,0.6666666666666666,0.2999883213415286,0.5332959308217258,0.32725638595227996,0.5089871447711523,False,0.4117803688715124,66.66666666666666,29.99883213415286,71
41281132,6,4,0.3368073618266086,0.9586149640172966,94.5,0.19326504613656523,1.1910459372106217,0.6666666666666666,0.2999883213415286,0.5633279583356215,0.278469635594545,0.45997684175458886,False,0.4109879165223685,66.66666666666666,29.99883213415286,72
41281106,12,6,0.3632129338151826,0.9622574548316497,107.75,0.1918967966999252,1.3743378962557253,0.5,0.2537781703934222,0.6300852452267599,0.32950314419243876,0.4560088382552084,False,0.4071164264157807,50.0,25.377817039342222,73
41135103,11,6,0.31532646573666057,0.9587619115208422,171.0,0.22402475428946378,1.5145603096894271,0.5454545454545454,0.2800877556899882,0.5090209982903743,0.5731159305182337,0.549181796876188,False,0.402586536707344,54.54545454545454,28.00877556899882,74
11500101,9,5,0.3605088182340872,0.9508393985315736,82.33333333333333,0.17388569690959127,1.4252498576490418,0.5555555555555556,0.26664734574402965,0.6232488313171466,0.23160867801408905,0.40377559402216845,False,0.4010534410715925,55.55555555555556,26.664734574402964,75
41220310,13,7,0.2920700128162299,0.9878273631445017,140.84615384615384,0.24000822286313625,1.918562433777074,0.5384615384615384,0.29143432431832045,0.45022516154988484,0.45697581225771483,0.5955347918303219,False,0.3998916689901901,53.84615384615385,29.143432431832046,76
28110149,8,3,0.37488544642965327,0.9595560539816316,76.875,0.2599978344391383,1.788092399003684,0.375,0.13684175946152105,0.6595951257050857,0.21058544019545986,0.6535058361156504,False,0.3970005846654163,37.5,13.684175946152106,77
11650106,20,10,0.32984953466039313,0.9473625172631399,89.6,0.1635894053401632,1.2707038148931749,0.5,0.2992949144298199,0.545737517027439,0.25959686637721063,0.3739157454564993,False,0.3881518614144415,50.0,29.92949144298199,78
41190120,9,4,0.3783875401912363,0.9548688218964673,84.88888888888889,0.19396250475219057,1.3771398730087838,0.4444444444444444,0.188775429471914,0.6684489493625634,0.24145161887573732,0.4619995125873799,False,0.387322302062202,44.44444444444444,18.8775429471914,79
11560112,6,4,0.33683560002992735,0.9442103627041233,81.16666666666667,0.15211337835366556,1.3676723358387,0.6666666666666666,0.2999883213415286,0.563399348792191,0.22711516153377137,0.3406345950887474,False,0.38714088432617105,66.66666666666666,29.99883213415286,80
11230103,10,5,0.3537244554903965,0.9463457393369648,121.4,0.18464840888569906,1.3524263032229968,0.5,0.2365895936154873,0.6060969343519875,0.3820772870121558,0.434988089083664,False,0.3871214949300727,50.0,23.658959361548728,81
28177105,17,7,0.329705737839033,0.9552926965800916,104.29411764705883,0.2264017501211966,1.5535201565041163,0.4117647058823529,0.21610786039131383,0.5453739768753179,0.31619251764359857,0.556075223999747,False,0.3828811680582017,41.17647058823529,21.610786039131384,82
41570104,11,5,0.36010598471510363,0.9506369526961085,96.63636363636364,0.1879744454516419,1.3360033133883014,0.45454545454545453,0.21270957543988048,0.6222304071448624,0.2866980229156462,0.4446337899181099,False,0.381950667847021,45.45454545454545,21.270957543988047,83
